id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
0,(BCBG) 린넨 셔츠 칼라 원피스.jpeg,"0.0,0.0,0.0,0.40271056,0.0,1.0854292,0.41140038,0.47911844,0.0,0.0,0.20186427,0.61579955,0.0,0.0,0.0,0.47395176,0.4933835,0.1581184,0.0,0.78033847,0.36650166,0.8237401,0.90708125,0.0,0.0,0.36342582,0.57495254,0.044491842,0.0,0.57835615,0.94937634,0.10005213,0.30143017,1.1215291,0.0,0.0,0.80217946,0.0,0.0,0.27599925,0.42070484,0.11592268,0.0,0.0,0.0,0.0,0.30170065,0.0,0.36747965,1.0197238,0.0,1.4717113,0.0,0.0,0.0,0.37255245,0.492744,0.23115584,0.0,0.0,0.0,0.94917476,0.76240635,0.0",4,0.8034745,11.908791,5.1825123
1,(BCBG) 린넨 솔리드 원피스.jpeg,"0.0,0.0,0.0820183,0.0,0.0,0.8680357,0.0,0.25201404,0.0,0.0,0.0,0.89009833,0.0,0.0,0.0,0.0039081573,0.0,0.09401953,0.11064336,0.57338077,0.57140774,1.1173569,0.0,0.0,0.0,0.27850544,0.0,0.3008226,0.0,0.0,0.4053202,0.113839805,0.0,0.0011007786,0.0,0.0,1.3266356,0.39375296,0.0,0.0,0.19722785,0.12029931,0.0,0.0,0.0,0.0,0.2780657,0.0,0.20433462,0.72955143,0.0,1.8177128,0.0,0.0,0.0,0.7588521,0.0,0.0,0.0,0.0,0.0,1.2335784,0.3469532,0.0",8,1.0759064,2.2623367,-5.6307592
2,(BCBG) 멜리나 모 혼방 원피스.jpeg,"0.0,0.0,0.0,0.14454895,0.0,0.41241586,0.0,0.32719964,0.15994732,0.48151857,0.0,0.25440472,0.0,0.01785434,0.05942515,0.0,0.05433178,0.0,0.0139579475,1.4715974,0.1550485,1.321898,0.0,0.016230792,0.0,0.0,0.36626393,0.0,0.0,0.048734605,0.0,0.0,0.0,0.8401978,0.0,0.0,1.2475866,0.20664293,0.0,0.16755632,0.25251698,0.0,0.0,0.0,0.0,0.0,0.0,0.21292976,0.90896463,0.5342944,0.0,1.9876803,0.0,0.0,0.0,0.0,0.09426569,0.0,0.0,0.0,0.0,0.5368146,0.7348935,0.0",1,0.93589395,-12.082631,-4.281753
3,(BCBG) 캐시미어 혼방 립 조직 니트 원피스.jpeg,"0.0,0.0,0.16550207,0.0,0.0,0.38931334,0.0,0.9092525,0.0,0.0,0.0,0.44519424,0.0,0.37714064,0.25431597,0.0,0.0,0.18042034,0.0,0.4384184,0.0,1.033984,0.0,0.015769243,0.0,0.20742285,0.13667682,0.0,0.0,0.0,0.0,0.0,0.06525582,0.03608635,0.0,0.0,1.585306,0.8395959,0.0,0.0,0.0,0.0,0.3935861,0.0,0.0,0.0,0.24790138,0.0,0.31543362,0.8815937,0.0,1.8203236,0.0,0.0,0.0,0.44930905,0.0,0.0,0.0,0.0,0.0,0.70088744,0.39322993,0.0",6,1.0655222,-11.601544,-10.051606
4,(BCBG)(~77size) 도트 반팔 벨티드 원피스.jpeg,"0.0,0.0,0.0,0.052221328,0.0,0.12763315,0.0,0.7012019,0.0,0.024983995,0.0,0.42465395,0.0,0.0,0.22683723,0.0,0.0,0.045805693,0.0,0.8401115,0.2459158,1.1377194,0.0,0.0,0.0,0.3107345,0.13438837,0.0,0.0,0.33915737,0.0,0.0,0.09188574,0.005148679,0.0,0.0,1.5543388,0.2729519,0.0,0.0,0.13466309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34412354,0.6313304,0.0,2.0398593,0.0,0.0,0.0,0.5671039,0.0,0.0,0.0,0.0,0.0,0.7780893,0.27018625,0.0",8,0.94227403,-10.131369,-7.2998414
5,(BCBG)(~77size) 로제 프린트 원피스.jpeg,"0.0,0.0,0.0,0.37392822,0.0,0.33432662,0.0,0.58992505,0.0,0.0,0.0,0.57430387,0.0,0.0,0.0,0.13117385,0.0,0.11447382,0.0,0.8784902,0.39660835,0.82262635,0.0,0.0,0.0,0.054574937,0.113086745,0.0,0.0,0.31860554,0.5623945,0.0,0.0,0.26602638,0.0,0.0,0.98802334,0.0,0.0,0.0,0.4917859,0.0,0.0,0.0,0.0,0.0,0.3567918,0.0,0.39687937,0.77129173,0.0,2.0029962,0.0,0.0,0.0,0.575233,0.0,0.0,0.0,0.0,0.0,0.7200478,0.42567497,0.0",8,0.6463983,-0.87239856,1.0546942
6,(BCBG)(~77size) 플루아 프린트 원피스.jpeg,"0.0,0.0,0.0,0.43423086,0.0,0.6135941,0.20247388,0.3191224,0.0,0.13319938,0.0,0.6947652,0.0,0.0,0.0,0.27245733,0.29415148,0.0,0.0,0.79747427,0.6486076,0.8552778,0.53064716,0.0,0.0,0.17126739,0.557733,0.0,0.0,0.573573,0.6010724,0.0,0.101071656,1.0139575,0.0,0.0,1.031543,0.0,0.0,0.061984867,0.5580427,0.30355942,0.0,0.0,0.0,0.0,0.46627516,0.0,0.1763247,0.6152136,0.0,1.7103177,0.0,0.0,0.0,0.49582148,0.37887707,0.0,0.0,0.0,0.0,1.1884028,0.5238535,0.0",4,0.88188636,8.955366,8.023833
7,(BCBG)깅엄체크 원피스.jpeg,"0.0,0.0,0.0,0.052732855,0.0,0.26946336,0.0,0.62328845,0.0,0.11130468,0.0,0.76340854,0.0,0.0,0.15175775,0.0,0.0,0.18066049,0.031016588,0.7882066,0.2381522,0.989711,0.0,0.0,0.0,0.22735944,0.23695886,0.0,0.0,0.06319314,0.16102333,0.0,0.1367684,0.0,0.0,0.0,1.4546478,0.4897608,0.0,0.0,0.20924465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11574635,0.69108224,0.0,2.0950196,0.0,0.0,0.0,0.48411202,0.0,0.0,0.0,0.0,0.0,0.8428613,0.34470958,0.0",8,0.80029595,-10.356135,-7.856818
8,(LAON) 바쉬드 V넥 페이즐 벨트 set 원피스.jpeg,"0.0,0.0,0.049216576,0.38972017,0.041982025,0.7114835,0.23398714,0.7637567,0.0,0.0,0.36884826,0.8282543,0.0,0.0,0.0,0.23047787,0.0,0.5774052,0.10454944,0.87445635,0.37935168,1.1239763,0.16300374,0.0,0.0,0.23988461,0.0,0.5253548,0.0,0.0,0.5790603,0.07755941,0.33854198,0.51113147,0.0,0.0,1.0157878,0.24345976,0.0,0.0,0.34732643,0.0,0.0,0.0,0.0,0.0,0.20181504,0.0,0.547678,0.24583155,0.0,2.015274,0.0,0.2557049,0.0,0.36110908,0.0,0.0,0.0,0.0,0.0,0.8302513,1.0517492,0.0",0,1.2771559,-3.6864147,6.1299567
9,(LAON) 배색 나염 벨트SET 프릴 나시 플레어 원피스_1color.jpeg,"0.0,0.0,0.0,0.12216767,0.0,0.46405995,0.0,0.65897787,0.0,0.0,0.0,0.48490798,0.0,0.19443938,0.18582843,0.17086446,0.0,0.15197283,0.21528316,0.43278944,0.04880774,1.0463674,0.16430783,0.0,0.0,0.0,0.0,0.2056642,0.0,0.0,0.64800996,0.09330699,0.005334735,0.0,0.0,0.0,1.0801992,0.034683287,0.0,0.0,0.032614052,0.0,0.40073526,0.0,0.0,0.0,0.05193135,0.0,0.6092663,0.74930906,0.0,1.9222448,0.0,0.01637575,0.0,0.39024448,0.044189483,0.0,0.0,0.0,0.0,0.7525954,0.039949417,0.0",8,0.969914,-2.4032445,-1.88156
