Name,Price,Rating,ImageURL
~77까지 [벨트set]뉴트로칼라체크포인트진원피스,"59,900",4.5,https://image.queenit.kr/resized/product/asset/v1/upload/2c0930f419614be1b941ca9085c95503.jpg?type=big&res=1x
벨트셋 에코레더 원피스,"84,900",4.5,https://image.queenit.kr/resized/product/asset/v1/upload/5264e0bd02a24b7f8d85dd798359f61b.jpeg?type=big&res=1x
고디르 사선 배색 쉬폰 원피스,"45,900",4,https://image.queenit.kr/resized/product/asset/v1/upload/5570afe1e40e47db991b96f3a28f5d75.jpg?type=big&res=1x
[가을신상] 브이넥 다트 원피스_SWWOPN32010,"199,000",,https://image.queenit.kr/resized/product/asset/v1/upload/ee208384eef8439e8e83e80e0bd4c571.jpg?type=big&res=1x
펀시프 데님점프수트,"148,000",4,https://image.queenit.kr/resized/product/asset/v1/upload/96d3aca8662549e9ab892925e1c5bbcd.jpg?type=big&res=1x
(BCBG)(~77size) 엘리디움 프린트 카라 원피스,"162,000",4.4,https://image.queenit.kr/resized/product/asset/v1/upload/31ff05922fc545fbab5f32b8e09aa11a.jpeg?type=big&res=1x
[클리어런스]베르 언밸런스 나염 원피스,"24,900",4.4,https://image.queenit.kr/resized/product/asset/v1/upload/af9b6df57ea448fdaefb3da252b7c5e1.jpg?type=big&res=1x
탈부착 카라 데님원피스 S232H653,"98,000",4.3,https://image.queenit.kr/resized/product/asset/v1/upload/94e814dcdf474416b22854e6e3a93cf5.jpg?type=big&res=1x
러플 레이스블럭 셔링 원피스_블랙,"167,400",,https://image.queenit.kr/resized/product/asset/v1/upload/01e8bc5f903d4fb9a365c618be74cb93.jpeg?type=big&res=1x
[자체생산] M570 7부소매 플리츠 주름원피스,"62,000",4,https://image.queenit.kr/resized/product/asset/v1/upload/71e1a8278f7340e6ad4953b639e32652.jpg?type=big&res=1x
[77까지][벨트set]오픈넥럭셔리원피스,"136,900",4.8,https://image.queenit.kr/resized/product/asset/v1/upload/c11d4d092bac4793b96d38b9c2fed083.jpg?type=big&res=1x
