id,image_path,mainclass,latent_vector,cluster_label,cluster_center_distance
0,루즈핏 스트라이프 카라 티셔츠.jpg,top,"1.2296338,1.9657117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17815197,0.0,0.0,2.0371847,0.0,0.7688666,0.0,1.8536836,0.0,0.0,0.20117235,0.0,0.0,1.9664025,0.0,1.2924016,0.9417825,3.6077611,0.0,0.0,0.2426194,1.5881789,1.8733367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9624617,3.022156,0.0,0.0,2.3733506,4.324998,1.4458601,1.9488204,0.0,0.072472215,0.0,0.0,1.4351648,0.94317526,0.0,0.0,0.45385635,0.37992573,0.0,0.8411921,0.0",6,1.5528862
1,르모하 로고 큐빅 장식  반팔 티셔츠 [LEMOHAU].jpeg,top,"1.2711556,2.3727348,0.0,0.0,0.20909819,0.0,0.0,0.41095054,0.0,0.0,0.0,0.0,1.293302,0.0,1.2075558,0.120277524,1.4855082,0.0,0.0,0.0,0.0,0.0,2.2266061,0.0,1.7946136,1.5637289,4.050553,0.0,0.0,0.0,1.8924086,1.8008535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004226446,0.0,0.0,2.3038933,3.089191,0.0,0.0,1.781377,3.921479,0.9767102,3.0265455,0.0,0.8882103,0.0,0.22631013,1.8321574,0.38169432,0.0,0.0,1.4430337,0.14197236,0.0,0.19525576,0.0",11,1.4680837
2,리아 프릴넥 시스루 슬리브 블라우스.jpg,top,"1.7646537,0.99664605,0.0,0.0,0.0,0.0,0.0,1.4617707,0.0,0.50745225,0.0,0.0,1.6438227,0.0,1.3489933,0.0,2.1425014,0.0,0.0,0.32409286,0.0,0.0,2.072941,0.45639074,1.2678111,1.0326445,5.198244,0.0,0.0,1.2842271,2.1836486,1.6922793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5449395,0.0,0.0,1.9087341,2.9686837,0.0,0.0,2.6415827,4.9212084,0.8704896,2.1263986,0.0,0.65852475,0.0,1.1881485,1.2557002,0.44332302,0.0,0.0,2.1082811,0.8251174,0.0,0.0,0.0",7,0.0
3,린넨 블렌드 후드 집업 니트 M3B610LBE.jpg,top,"1.6893946,1.8279731,0.0,0.0,0.0,0.0,0.0,0.96951705,0.0,0.0,0.0,0.0,1.8117877,0.0,0.5335825,0.0,1.393049,0.0,0.0,0.2967949,0.0,0.0,2.0480945,0.0,1.2832217,0.886745,3.552363,0.0,0.0,0.0,1.9042385,1.6734366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2464168,3.4590664,0.0,0.0,2.8705883,4.455555,1.0334109,2.0188231,0.0,0.0068531036,0.0,0.0,1.7958019,0.30129004,0.0,0.0,0.7057531,0.18599252,0.0,0.052842498,0.0",6,1.1235495
4,린넨 트로피컬 반팔 티셔츠.jpg,top,"1.3614607,1.9178215,0.0,0.0,0.0,0.0,0.0,0.7076159,0.0,0.0,0.0,0.0,1.1717373,0.0,0.8718756,0.010745764,1.6457634,0.0,0.0,0.0,0.0,0.0,2.2651412,0.0,1.4494932,0.98392415,3.5503492,0.0,0.0,0.0,2.0070288,1.4961938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8877809,2.7003813,0.0,0.0,2.0407643,4.3046207,0.78973866,2.1795611,0.0,0.4542594,0.0,0.36134225,2.2646432,0.24430925,0.0,0.0,1.0486431,0.77249825,0.0,0.4735142,0.0",6,1.3206362
5,릴리 레이온 블라우스.jpg,top,"1.565517,1.6211541,0.0,0.0,0.0,0.0,0.0,0.45677567,0.0,0.0,0.0,0.0,1.656441,0.0,0.7447458,0.17285079,1.8943912,0.0,0.0,0.0,0.0,0.0,2.20787,0.0,1.594711,0.85412943,3.8322105,0.0,0.0,0.0,1.9249196,0.977528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2609808,2.9396107,0.0,0.0,2.375156,4.5418625,1.1080391,2.761362,0.0,0.34970808,0.0,0.030724436,1.2979048,0.5459992,0.0,0.0,0.7354114,0.0,0.0,1.0696723,0.0",4,0.88477826
6,링클 민소매 블라우스 나시.jpg,top,"1.1669815,1.5961566,0.0,0.0,0.0,0.0,0.0,0.89124334,0.0,0.0,0.0,0.0,1.264755,0.0,0.813892,0.0,2.033204,0.0,0.0,0.0,0.0,0.0,2.284318,0.0,1.3348471,0.6046306,3.7430706,0.0,0.0,0.0,2.0590768,1.7043967,0.0,0.0,0.040406287,0.0,0.043817736,0.0,0.0,0.0,0.0,0.0,0.0,2.6530213,3.4064534,0.0,0.0,2.1607695,4.4601345,1.0126996,2.4885128,0.0,0.4190209,0.0,0.0,1.7555505,0.1166693,0.0,0.0,0.8764124,0.0,0.0,0.3275869,0.0",0,0.63893425
7,마린패턴 반팔 티셔츠.jpeg,top,"1.1916388,1.7821629,0.0,0.0,0.0,0.0,0.0,0.61514914,0.0,0.19687927,0.0,0.0,1.1254826,0.0,0.5129385,0.03622687,1.539849,0.0,0.0,0.0,0.0,0.0,1.6325355,0.0,1.0255214,0.5899437,3.8053021,0.0,0.0,0.0,2.3129408,1.9559565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2793944,2.9553452,0.0,0.0,1.5717312,3.3999176,0.57965946,2.4287016,0.0,0.15104723,0.0,0.0,2.1087697,0.4926834,0.0,0.0,0.6186298,0.39492723,0.0,0.5303273,0.0",9,0.8840291
8,마블패턴 소프트 블라우스.jpeg,top,"1.4898691,2.2611203,0.0,0.0,0.0,0.0,0.0,0.7247405,0.0,0.0,0.0,0.0,0.81698084,0.0,0.90955216,0.0,1.6986,0.0,0.0,0.0,0.0,0.0,2.497662,0.0,1.3157268,0.5561466,3.934099,0.0,0.0,0.12679389,2.1939425,1.8881507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9927299,3.5281608,0.0,0.0,2.2957807,4.5995426,0.57933784,2.5020697,0.0,0.7913933,0.0,0.0,2.1506658,0.478638,0.0,0.0,1.3032897,0.27134758,0.0,0.0,0.0",2,1.4473734
9,멀티스트라이프 블라우스_VOCNLXS2151.blob,top,"1.5769663,1.5465927,0.0,0.0,0.0,0.0,0.0,0.65972626,0.0,0.0,0.0,0.0,1.4611979,0.0,0.5540202,0.01083082,1.8531058,0.0,0.0,0.0,0.0,0.0,2.3069217,0.0,1.2527041,1.1238782,3.4305277,0.0,0.0,0.0,2.0940986,1.1006627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.114809,3.207643,0.0,0.0,2.0747805,4.435563,1.0947198,2.191281,0.0,0.4484601,0.0,0.19661534,1.618799,0.13012111,0.0,0.0,0.75636244,0.023130894,0.0,0.62355125,0.0",6,0.7309346
