id,image_path,latent_vector,cluster_label,cluster_center_distance
0,(BCBG)(~77size) 모혼방 니트 배색 세일러 카라 원피스.jpeg,"1.0034082,0.5695887,0.78691036,0.96205693,0.0,0.0,0.25758058,0.085910976,0.0,0.0,0.2879495,1.2681955,1.7860049,0.5051157,0.0,0.65937006,0.30415684,0.0,0.0,1.2865111,0.0,0.6893496,0.30004844,0.0,0.0,0.0,0.0,0.35559392,1.4409145,0.14356215,0.71565473,0.0,1.0211022,0.0,0.0,0.46916002,0.0,0.0,0.0,0.49983975,0.0,0.0,0.0,0.0,0.43398952,0.33307838,0.16558611,0.24905984,0.031121373,2.024661,0.67357075,0.0,0.0,0.20410421,0.0,0.0,0.1401765,0.0,0.0,0.0,0.0,0.21080124,0.0,0.7778332",4,0.57607543
1,(BCBG)벨티드 셔츠 원피스(B2F8O621).jpg,"0.59999555,0.52317405,1.0235515,0.7613168,0.0,0.0,0.060168922,0.12840231,0.0,0.0,0.0,1.4970801,1.8161457,0.5493457,0.0,0.5107006,0.36011514,0.06654161,0.0,1.0672138,0.11195254,0.778838,0.08783357,0.0,0.0,0.0,0.0,0.15892142,1.684891,0.6306648,0.37196487,0.0,1.5569937,0.0,0.0,0.65148646,0.0,0.22723934,0.0,0.21723723,0.0,0.0,0.0,0.0,0.0,0.19041003,0.0,0.19959004,0.0,1.6378791,0.67710805,0.058651805,0.0,0.5464399,0.0,0.0,0.009520933,0.0,0.0,0.0,0.0,0.4244135,0.11781308,0.55573",2,0.90386266
2,[1+1] 카라넥 린넨원피스 2종세트 (공통1+선택1).jpg,"1.0654461,0.11110315,0.8312484,0.96263236,0.0,0.0,0.21650255,0.0,0.0,0.0,0.0,1.2551622,2.0595016,0.38593173,0.0,0.4770447,0.0,0.0,0.18089496,1.1737139,0.09219827,0.6378124,0.4700635,0.0,0.0,0.0,0.0,0.5616987,1.3816316,0.08697356,0.57420206,0.0,0.8980029,0.0,0.0,0.37302178,0.0,0.040693074,0.0,0.39436346,0.0,0.0,0.0,0.0,0.7766614,0.0,0.3498609,0.0,0.0,1.6928501,0.3786682,0.0,0.0,0.0,0.0,0.0,0.15228355,0.0,0.19607332,0.0,0.0,0.44122,0.0,0.73160577",4,0.9569755
3,[MAXZA][당일출고]레이스 쉬폰 핏앤플레어 롱원피스 (~77까지).jpeg,"1.1782823,0.15251905,0.6633335,1.2512162,0.0,0.0,0.0,0.0,0.0,0.0,0.5017482,1.22296,1.7916999,0.17993858,0.4622618,0.59906,0.34263578,0.0,0.0,1.2736914,0.0,0.28652284,0.26936126,0.0,0.0,0.0,0.0,0.55384535,1.7186604,0.7608237,0.4044512,0.0,1.2074391,0.0,0.0,0.043996185,0.0,0.0,0.0,1.0422076,0.0,0.0,0.0,0.0,0.78742754,0.0,0.0,0.5454141,0.27606314,2.2099872,1.104496,0.0,0.0,0.038747594,0.0,0.0,0.0,0.0,0.022274334,0.0,0.0,0.011212125,0.0,1.3404005",7,2.1400163e-08
4,[MAXZA][당일출고]플리츠 카라 그라데이션 레이스 롱원피스 (~77까지).jpeg,"1.1485361,0.5633018,0.6823468,0.8064832,0.0,0.0,0.023459554,0.1185126,0.0,0.0,0.09319633,1.3536549,2.0541496,0.0,0.0,0.57652944,0.47930008,0.0,0.0,1.2674432,0.0,0.48652643,0.31919095,0.0,0.0,0.0,0.0,0.5216672,1.6710802,0.3214989,1.2578149,0.0,0.91531986,0.19873722,0.0,0.48506266,0.0,0.08221181,0.0,0.6590802,0.0,0.0,0.0,0.0,0.42912138,0.039794713,0.060986757,0.17693755,0.0,1.9726648,0.66567826,0.0,0.0,0.44205722,0.0,0.08275047,0.0,0.0,0.0,0.0,0.0,0.2657721,0.072274074,0.63311994",4,0.98252124
5,[Thursday Island] 레그오브 머튼 보더믹스 원피스(T216MOP149W).jpg,"0.8383132,0.1530568,0.0,0.77697396,0.0,0.0,0.0,0.17133655,0.0,0.0,0.5673734,1.6353116,1.2619923,0.0,0.0,1.1347243,0.3113132,0.0,0.0,1.6655672,0.0,0.5130757,0.43448758,0.0,0.0,0.13601908,0.0,0.5430138,1.1182601,0.09092158,0.4878623,0.0,1.2975409,0.0,0.0,1.227352,0.0,0.24820332,0.0,0.5712825,0.0,0.0,0.0,0.21732992,0.10171202,0.009994268,0.0,0.13127221,0.01548475,1.890629,1.0362389,0.0,0.0,0.3230513,0.36207125,0.0,0.0,0.0,0.22796279,0.0,0.0,0.0,0.49249163,1.2438092",8,0.0
6,[가을신상] 하프 집업 니트 원피스_SSKOPN31010.jpg,"0.8724276,0.38771963,1.0299144,0.5767175,0.0,0.0,0.0,0.15927365,0.0,0.0,0.06258319,1.3468794,1.9924552,0.047381103,0.0,0.55613965,0.4469833,0.0,0.0,1.0504668,0.0,0.53703356,0.23975348,0.0,0.0,0.0,0.0,0.24730358,1.3692538,0.17091565,0.4988168,0.0,0.7591949,0.0,0.0,0.39407045,0.0,0.35622248,0.0,0.49940452,0.0,0.0,0.0,0.0,0.35919738,0.14659974,0.01876828,0.3139818,0.0,2.0910187,0.62948316,0.0,0.0,0.361277,0.0,0.0,0.01336211,0.0,0.20212018,0.0,0.0,0.31086624,0.0,0.42202234",0,0.7232024
7,[긴소매 입하][~88까지 _ 벨트SET]아트프린팅셔츠플레어원피스.jpg,"1.3566744,0.32416624,1.182561,1.6552362,0.0,0.0,0.33056855,0.039218485,0.0,0.0,0.3220501,0.93166804,1.9666,0.78875184,0.12111135,0.42781252,0.54258287,0.0,0.0,1.6447527,0.0,0.23900415,0.0,0.0,0.0,0.39275327,0.0,0.8419225,1.2721069,0.23742497,0.17548609,0.0,0.9140854,0.0,0.0,0.7522502,0.0,0.0,0.37750658,0.41469964,0.0,0.0,0.0,0.0,0.4102003,0.5517555,0.0,0.0,0.0112115145,2.222804,1.441912,0.0,0.0,0.51369,0.29748365,0.28773057,0.54041183,0.0,0.0,0.0,0.0,0.3603536,0.36256665,1.5514009",3,1.4901161e-08
8,[루시다]파운 바스락 원피스.jpeg,"0.6482781,0.17578286,0.6977856,1.0499662,0.0,0.0,0.0,0.21980193,0.0,0.0,0.3912338,0.8151258,1.9209604,0.13113046,0.0,0.95070434,0.09319848,0.16145939,0.0,1.2779299,0.0,0.2990638,0.84445906,0.0,0.0,0.12279549,0.0,0.34743956,1.4651463,0.52600956,0.48670173,0.0,0.49850157,0.025658742,0.0,0.35750282,0.0,0.32440758,0.0,0.10917652,0.0,0.0,0.0,0.0,0.4155454,0.21544766,0.2952507,0.08032024,0.0,1.6915687,1.0522301,0.16145627,0.0,0.3744964,0.0,0.020117193,0.0,0.0,0.27232826,0.0,0.0,0.35759515,0.0,0.31342947",4,1.3640586
9,[벨트SET]엘레강스트임넥롱원피스.jpg,"1.1840918,0.5431423,0.47629154,1.1339929,0.0,0.0,0.0,0.067423224,0.0,0.0,0.1832045,1.3318474,2.0702782,0.83421624,0.0,0.63861907,0.57854503,0.0,0.093265176,1.4704201,0.0,0.6363689,0.89495564,0.0,0.0,0.019264191,0.0,0.6687494,1.5254958,0.20433745,0.46559453,0.0,0.8408973,0.01770334,0.0,0.6474349,0.0,0.0,0.0,0.70019245,0.0,0.0,0.0,0.0,0.060701184,0.068713516,0.0,0.0,0.0,1.8920736,0.745291,0.0,0.0,0.33402523,0.0,0.0,0.2588442,0.0,0.0,0.0,0.0,0.75095963,0.003433343,0.80664235",4,1.150312
