id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
0,(BCBG) 린넨 셔츠 칼라 원피스.jpeg,"0.13149077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6068764,0.0,1.2038449,0.0,0.27497473,0.0,0.0,1.0111294,0.0,0.0,0.0,0.40141863,0.100961216,0.8552593,0.0,0.18725854,0.0,0.0,0.3182125,0.0,0.0,0.0,0.0,0.26109803,0.43348157,0.0,0.0,1.2977365,0.53768665,0.0,0.093210876,0.30135208,0.7320233,0.53442645,0.0,0.0,0.2829885,0.8877407,0.0,0.944053,0.5583882,0.18768692,0.33219162,0.0,0.0,0.0,0.0,1.3025427,0.0,0.0,1.0085895,0.0,0.068766326,1.1719096",6,0.77806044,2.4325945,-11.586665
1,(BCBG) 린넨 솔리드 원피스.jpeg,"0.08892757,0.0,0.22878163,0.0,0.0,0.044166237,0.0,0.0,0.0,0.0,0.6760703,0.0,1.4488817,0.0,0.0,0.0,0.2485539,0.6106721,0.0,0.29786354,0.0,0.4884437,0.06746902,0.0,0.0,0.22946453,0.0,0.0,0.5760494,0.14580631,0.0,0.0,0.0,0.53086543,1.1276938,0.34055933,0.0,1.2864832,0.5249929,0.0,0.0,0.020134717,0.09814197,0.15994024,0.18950842,0.0,0.52819264,1.1055281,0.0,1.3040364,0.0,0.0012953281,0.0,0.0,0.0,0.0,0.0,0.71065485,0.0,0.3090399,0.86002195,0.0,0.673082,0.7377932",1,1.1981943,-0.83593476,5.0920076
2,(BCBG) 멜리나 모 혼방 원피스.jpeg,"0.40160906,0.0,0.56089604,0.0,0.0,0.9412471,0.0,0.0,0.13812599,0.0,0.49634528,0.0,1.0438159,0.0,0.15158427,0.0,0.0,0.0949589,0.26934397,0.4983641,0.0,0.13905516,0.26586506,0.0,0.002686426,0.46174353,0.0,0.0,0.9040673,0.34358758,0.0,0.0,0.0,0.7952372,0.8314799,0.0,0.0,1.0627105,0.073789716,0.25489148,0.0,0.3701561,0.6438203,0.85580075,0.0,0.0,0.9096056,1.7265563,0.0,1.1907318,0.3661928,0.7654455,0.0,0.36621526,0.0,0.0,0.0,0.96245146,0.0,0.0,0.8553724,0.13352007,0.3696072,1.5879674",5,1.3926384,4.535504,11.282062
3,(BCBG) 캐시미어 혼방 립 조직 니트 원피스.jpeg,"0.04966572,0.0,0.28658783,0.0,0.0,0.17754832,0.0,0.0,0.20338894,0.0,0.0,0.0,1.4413309,0.0,0.0,0.0,0.14560091,0.60712844,0.0,0.8108515,0.3764081,0.39520356,0.34397316,0.0,0.0,0.21936673,0.0,0.0,0.8341071,0.33261725,0.0,0.0,0.0,0.85358757,0.9595352,0.032884628,0.00493145,0.7190828,0.36698815,0.0,0.0,0.25303295,0.0,0.65064096,0.093311995,0.0,0.76688796,1.5035584,0.0,1.7238517,0.23519449,0.52058876,0.0,0.32333472,0.0,0.0,0.0,0.17238829,0.0,0.71501887,0.72177553,0.0,0.50502694,1.0285461",5,1.4333673,6.3627787,8.677948
4,(BCBG)(~77size) 도트 반팔 벨티드 원피스.jpeg,"0.4652531,0.0,0.41577542,0.0,0.0,0.5797381,0.0,0.0,0.13554236,0.0,0.29666448,0.0,1.3716539,0.08252746,0.0,0.0,0.0,0.00031237304,0.0,0.48381355,0.0,0.0,0.0,0.0,0.0,0.18094675,0.0,0.0,0.65615344,0.30041146,0.0,0.0,0.0,0.61165714,0.9791329,0.0,0.0,1.0702918,0.7034644,0.0634727,0.0,0.0,0.032667637,0.3803924,0.0,0.0,0.32358292,1.6299113,0.0,1.503045,0.0,0.42088515,0.0,0.51785326,0.0,0.0,0.0,0.6419771,0.0,0.5251242,0.635864,0.0,0.41408455,1.3395342",5,0.7664819,6.341118,5.1820655
5,(BCBG)(~77size) 로제 프린트 원피스.jpeg,"0.805484,0.0,0.26338357,0.0,0.0,0.47005388,0.0,0.0,0.48656368,0.0,0.6009835,0.0,1.4311233,0.0,0.0,0.0,0.0,0.37208855,0.0,0.22776818,0.034702808,0.0,0.0,0.09440619,0.0,0.31083426,0.0,0.0,0.40621188,0.026905328,0.0,0.0,0.0,0.43934062,0.98253363,0.31183752,0.018098056,1.1833056,0.47891366,0.046856463,0.0,0.2186352,0.38789755,0.5679738,0.1560593,0.0,0.42837954,1.2911477,0.0,1.4736753,0.18012515,0.38910663,0.0,0.31041908,0.0,0.0,0.0,1.0913914,0.0,0.08454281,0.52294385,0.13526262,0.7988577,0.97378516",1,0.9260863,5.2037544,0.14427142
6,(BCBG)(~77size) 플루아 프린트 원피스.jpeg,"0.36312214,0.0,0.0,0.0,0.0,0.04262349,0.0,0.0,0.0,0.0,0.6565746,0.0,1.1444063,0.0,0.0,0.0,0.0,0.6197396,0.0,0.007996157,0.0,0.305346,0.0,0.6863822,0.0,0.38255507,0.14843884,0.0,0.25921983,0.0,0.0,0.0,0.0,0.4153376,0.6405777,0.15841882,0.0,1.3193233,0.28836185,0.0,0.21946916,0.0,0.5647929,0.62416744,0.0,0.0,0.3357249,0.91734993,0.0,1.0987494,0.48935795,0.123638585,0.13506782,0.048153907,0.0,0.0,0.0,1.144938,0.0,0.0,0.56595045,0.039314553,0.25386873,1.1040747",0,0.78303695,5.515853,-10.554797
7,(BCBG)깅엄체크 원피스.jpeg,"0.51972777,0.0,0.52074206,0.0,0.0,0.14338326,0.0,0.0,0.2300649,0.0,0.51380146,0.0,1.6417568,0.21192905,0.0,0.0,0.0,0.05008027,0.0,0.46448702,0.0,0.0,0.0,0.0,0.0,0.17336562,0.0,0.0,0.58395445,0.33192188,0.0,0.0,0.0,0.6035281,1.1773827,0.0,0.0,1.0865148,0.6050706,0.012590408,0.0,0.0,0.111692786,0.2507057,0.044166327,0.0,0.3479247,1.4981389,0.0,1.2271007,0.0,0.58789325,0.0,0.545623,0.0,0.0,0.0,0.61959064,0.0,0.29448658,0.7820341,0.0,0.5244844,1.2364216",5,1.119021,6.026369,4.8714247
8,(LAON) 바쉬드 V넥 페이즐 벨트 set 원피스.jpeg,"0.020428061,0.0,0.99451184,0.0,0.0,0.48207188,0.0,0.0,0.022083119,0.0,0.4216513,0.0,1.6372144,0.0,0.0,0.0,0.0,0.5110655,0.0,0.034043133,0.0,0.0,0.093821555,0.0,0.0,0.8257638,0.0,0.0,0.3355326,0.055357337,0.0,0.0,0.0,0.66176295,1.3188329,0.58968073,0.0,1.2566459,0.12888,0.0,0.3559367,0.0,0.0,0.25675407,0.42314765,0.0,0.87306273,1.0228634,0.0,1.5754609,0.02171269,0.0,0.0,0.0,0.0,0.0,0.0,1.0917032,0.0,0.077902496,0.90552056,0.0,1.0625862,1.098547",1,1.3029674,0.049241506,8.267394
9,(LAON) 배색 나염 벨트SET 프릴 나시 플레어 원피스_1color.jpeg,"0.53367025,0.0,0.4468764,0.0,0.0,0.20039654,0.0,0.0,0.56952333,0.0,0.45636508,0.0,1.6567618,0.0,0.0,0.0,0.1931963,0.8214163,0.065877266,0.40197003,0.30271226,0.3609926,0.0,0.0,0.0,0.2702414,0.0053672493,0.0,0.3224535,0.16416794,0.0,0.0,0.0,0.66960186,1.530915,0.20103478,0.0869053,0.89952624,0.33519414,0.0,0.0,0.28315675,0.0,0.43858376,0.1327855,0.0,0.49586418,1.3817227,0.0,1.5294828,0.058173686,0.2503938,0.0,0.0,0.0,0.0,0.0,0.8903424,0.0,0.19006675,0.5675131,0.0,0.514297,0.78377354",1,0.9640638,0.39800903,6.0842953
