                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90683,                 2.6881,                 2.9559,                 1.3161,                0.01835,                0.95833,                0.52324,                0.48165,                0.01835,                0.95833,                0.52324,                0.50655,                0.44392,                0.73984,                 3.3129,                 1.0249,              0.0002125,              0.0002125,              0.0002125
                      2,                0.81431,                  1.614,                 2.2713,                 1.2445,                0.41605,                 0.4851,                 0.6015,                0.53484,                0.41605,                 0.4851,                 0.6015,                0.56441,                0.62617,                0.72693,                 2.6401,                 1.1874,             0.00042884,             0.00042884,             0.00042884
                      3,                 0.8242,                 1.5278,                 1.9582,                 1.2276,                0.53071,                  0.675,                0.68032,                0.48728,                0.53071,                  0.675,                0.68032,                0.60976,                0.76335,                0.78209,                 2.4588,                 1.5899,             0.00063627,             0.00063627,             0.00063627
                      4,                0.80131,                 1.4644,                  1.712,                 1.2111,                0.90351,                0.40007,                  0.745,                0.63517,                0.90351,                0.40007,                  0.745,                 0.7058,                0.70322,                0.65411,                 2.4231,                 1.4205,             0.00083478,             0.00083478,             0.00083478
                      5,                0.79666,                 1.4219,                 1.6454,                 1.2123,                0.74521,                0.54249,                0.60197,                0.49441,                0.74521,                0.54249,                0.60064,                0.50758,                0.85658,                 1.3924,                 2.6761,                 1.5976,              0.0010244,              0.0010244,              0.0010244
                      6,                0.83923,                 1.4983,                  1.649,                 1.2364,                0.53414,                0.76609,                0.65857,                0.50381,                0.53414,                0.76609,                0.65403,                0.53074,                  1.066,                  1.823,                  2.284,                 1.7209,              0.0011263,              0.0011263,              0.0011263
                      7,                0.81088,                 1.3405,                 1.5268,                 1.2089,                0.77457,                0.80833,                0.87975,                0.72386,                0.77457,                0.80833,                0.86131,                0.67338,                0.76262,                 1.7544,                 1.5073,                 1.3773,              0.0011263,              0.0011263,              0.0011263
                      8,                0.77164,                 1.3045,                 1.5212,                 1.1523,                0.60713,                0.78613,                 0.7991,                0.63336,                0.53224,                0.74668,                0.76466,                0.62318,                 0.8305,                 1.3689,                  2.179,                 1.4316,              0.0011015,              0.0011015,              0.0011015
                      9,                0.80012,                  1.327,                 1.4888,                 1.1872,                0.68556,                0.82813,                0.87754,                0.63615,                0.68556,                0.82813,                0.87754,                 0.6917,                0.73276,                0.96074,                 1.9237,                 1.2921,              0.0010768,              0.0010768,              0.0010768
                     10,                0.74875,                 1.2723,                 1.4066,                 1.1575,                 0.7275,                0.63333,                 0.8058,                0.64625,                 0.7275,                0.63333,                 0.8058,                0.62164,                0.68402,                 1.5966,                 1.8729,                  1.321,               0.001052,               0.001052,               0.001052
                     11,                0.76587,                 1.3074,                  1.385,                 1.1685,                0.89356,                0.89167,                0.92452,                0.74811,                0.85659,                0.83126,                0.89881,                0.74297,                0.68563,                 1.1606,                 1.4975,                 1.2425,              0.0010273,              0.0010273,              0.0010273
                     12,                0.74962,                 1.2794,                 1.3231,                 1.1503,                 0.7414,                 0.8239,                0.84462,                0.74404,                 0.7414,                 0.8239,                0.84462,                0.76517,                0.64864,                0.69356,                 1.5271,                 1.2653,              0.0010025,              0.0010025,              0.0010025
                     13,                0.75865,                  1.316,                 1.2768,                 1.1594,                0.66524,                0.74219,                0.75101,                0.67189,                0.66524,                0.74219,                0.75101,                0.68408,                0.66487,                 0.6281,                 2.0217,                 1.2707,             0.00097775,             0.00097775,             0.00097775
                     14,                0.73115,                 1.1897,                 1.2589,                 1.1394,                 0.8741,                0.85032,                0.97786,                 0.8526,                 0.8741,                0.85032,                0.97786,                0.93043,                0.60657,                0.64196,                 1.3864,                 1.2389,               0.000953,               0.000953,               0.000953
                     15,                0.67175,                 1.1191,                 1.1738,                 1.1121,                0.74051,                0.91667,                0.92983,                  0.823,                0.74051,                0.91667,                0.92983,                0.85909,                0.61611,                0.57187,                 1.3354,                 1.1956,             0.00092825,             0.00092825,             0.00092825
                     16,                 0.6891,                  1.123,                 1.1909,                 1.0935,                0.91835,                   0.85,                0.94075,                0.79703,                0.91835,                   0.85,                0.92655,                0.79186,                0.68623,                0.95385,                 1.3021,                 1.2011,              0.0009035,              0.0009035,              0.0009035
                     17,                0.65935,                 1.1749,                 1.1185,                 1.0857,                0.74949,                0.96615,                  0.995,                0.83058,                0.74949,                0.96615,                  0.995,                0.92209,                0.60737,                0.58029,                 1.1455,                 1.1924,             0.00087875,             0.00087875,             0.00087875
                     18,                0.66543,                 1.1073,                 1.0857,                 1.0794,                0.68437,                0.96478,                0.94073,                 0.8035,                0.68437,                0.96478,                0.94073,                0.86409,                0.59671,                0.49251,                 1.2407,                 1.1821,               0.000854,               0.000854,               0.000854
